Country,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Algeria,0,29914,28317,29160,29713,31033,23978,23007,25320,26402,22576
Angola,2723.534,1852.767,2547.434,2640.663,2597.688,2253.686,2210,1983,1925,1864,1851
cameroon,0,1180,1313,1596,1613,1380,982,1412,1771,2057,1732
Chad,0,688.6,677.42,677.42,774.08,774.08,677.32,580.56,194.2,0,0
congo,0,716,716,649,688,794,778,714,575,655,693
Cote d'Ivoire,0,3366,3064,3185.58924,3172,3112,3290,3226,2250,3067,3232
egypt,0,26083,23888,25052,25595,25268,24808,26892,28602,29379,28985
gabon,0,799,793,849,801,814,837,770,1028,955,884
ghana,0,309,16,739,89.1,129.1,424.1,474.2,1000.2,975.4,304.1
kenya,0,0,0,0,0,0,596.8,968,1689,1473,1511.3
libya,0,5595,4772,4004,4306,4879,10689,8204,5726,16139,15920
morocco,0,0,0,0,3127,6581,7080,7494,7364,5753.8,4429
niger,617.011,741.878,794.587,571.584,565.418,744.009,815.758,545.28,72.78,0,0
nigeria,0,2692,4380,3351,1618,3336,5238,5040,6382,5254,2690
senegal,0,981,1202,1124,1012,654,764,768,714,572,707
south africa,0,18700,17917.91887,20809.24244,20493,20144,19732,19018,19179,18697,18349
sudan,0,3320.2,3609,4165.1,3852.9,3727.2,3753.9,3907.7,0,0,0
sudan(former),0,0,0,0,0,0,0,0,4326,4868,4887
tunisia,0,1053.956,906,1185,1305,1641,1640,1728.4,711.75,256.5,1649
zambia,172861.487,593.262,563.81,462.819,605,659,589,616,543,588,552
